Month,Date,Description,Category,Amount,Payment Method,Notes
Sep 2025,2025-09-01,House Rent,Bills & Utilities,10710,Net Banking,
Sep 2025,2025-09-01,Gym Membership — Cult.fit,Health,1760,Credit Card,
Sep 2025,2025-09-02,Grocery — BigBasket,Food & Dining,1120,UPI,
Sep 2025,2025-09-02,D-Mart Grocery Shopping,Food & Dining,3050,Debit Card,
Sep 2025,2025-09-03,BMTC Bus Pass,Transportation,600,Cash,
Sep 2025,2025-09-03,Swiggy Order,Food & Dining,340,UPI,
Sep 2025,2025-09-03,Breakfast — Darshini,Food & Dining,65.5,Cash,
Sep 2025,2025-09-04,Society Maintenance,Bills & Utilities,1370,Net Banking,
Sep 2025,2025-09-04,Zomato Order,Food & Dining,570,UPI,
Sep 2025,2025-09-04,Tea & Snacks,Food & Dining,64.21,Cash,
Sep 2025,2025-09-05,BESCOM Electricity Bill,Bills & Utilities,910,Net Banking,
Sep 2025,2025-09-05,Laundry Service,Other,220,Cash,
Sep 2025,2025-09-06,SIP — Zerodha,Investment,2110,Net Banking,
Sep 2025,2025-09-06,Ola/Uber Ride,Transportation,220,UPI,
Sep 2025,2025-09-06,Auto Rickshaw,Transportation,100,Cash,
Sep 2025,2025-09-07,Broadband — ACT Fibernet,Bills & Utilities,630,UPI,
Sep 2025,2025-09-07,Ola/Uber Ride,Transportation,330,UPI,
Sep 2025,2025-09-07,Petrol — HPCL,Transportation,1410,UPI,
Sep 2025,2025-09-08,BWSSB Water Bill,Bills & Utilities,270,Net Banking,
Sep 2025,2025-09-08,Breakfast — Darshini,Food & Dining,150,Cash,
Sep 2025,2025-09-08,Auto Rickshaw,Transportation,140,Cash,
Sep 2025,2025-09-08,House Cleaning Service,Other,670,Cash,
Sep 2025,2025-09-09,Auto Rickshaw,Transportation,180,Cash,
Sep 2025,2025-09-09,GST Bill — Restaurant (Dine In),Food & Dining,2740,Credit Card,GST Bill
Sep 2025,2025-09-10,Piped Gas Bill,Bills & Utilities,390,UPI,
Sep 2025,2025-09-10,Spotify Premium,Entertainment,120,UPI,
Sep 2025,2025-09-11,LIC Premium,Investment,2810,Net Banking,
Sep 2025,2025-09-11,Metro Card Recharge,Transportation,260,UPI,
Sep 2025,2025-09-12,Netflix Subscription,Entertainment,470,Credit Card,
Sep 2025,2025-09-12,Swiggy Order,Food & Dining,570,UPI,
Sep 2025,2025-09-13,Zomato Order,Food & Dining,160,UPI,
Sep 2025,2025-09-13,D-Mart Grocery Shopping,Food & Dining,1820,Debit Card,
Sep 2025,2025-09-15,Tea & Snacks,Food & Dining,87.21,Cash,
Sep 2025,2025-09-16,Amazon Prime,Entertainment,300,Credit Card,
Sep 2025,2025-09-16,Metro Card Recharge,Transportation,320,UPI,
Sep 2025,2025-09-18,Mobile Recharge — Airtel,Bills & Utilities,310,UPI,
Sep 2025,2025-09-18,House Cleaning Service,Other,430,Cash,
Sep 2025,2025-09-19,Breakfast — Darshini,Food & Dining,83.07,Cash,
Sep 2025,2025-09-19,Petrol — HPCL,Transportation,1380,UPI,
Sep 2025,2025-09-20,Swiggy Order,Food & Dining,280,UPI,
Sep 2025,2025-09-21,YouTube Premium,Entertainment,140,UPI,
Sep 2025,2025-09-21,Ola/Uber Ride,Transportation,110,UPI,
Sep 2025,2025-09-21,Ola/Uber Ride,Transportation,140,UPI,
Sep 2025,2025-09-21,Auto Rickshaw,Transportation,140,Cash,
Sep 2025,2025-09-22,GST Receipt — Medical Equipment,Health,2300,Net Banking,GST Bill
Sep 2025,2025-09-23,Ola/Uber Ride,Transportation,430,UPI,
Sep 2025,2025-09-24,Zomato Order,Food & Dining,330,UPI,
Sep 2025,2025-09-25,Swiggy Order,Food & Dining,320,UPI,
Sep 2025,2025-09-27,Breakfast — Darshini,Food & Dining,140,Cash,
Sep 2025,2025-09-27,Grocery — BigBasket,Food & Dining,1880,UPI,
Sep 2025,2025-09-28,Tea & Snacks,Food & Dining,50.95,Cash,
Sep 2025,2025-09-28,GST Invoice — Software License,Education,4310,Net Banking,GST Bill
Sep 2025,2025-09-29,Breakfast — Darshini,Food & Dining,160,Cash,
Sep 2025,2025-09-30,Laundry Service,Other,310,Cash,
Oct 2025,2025-10-01,BMTC Bus Pass,Transportation,600,Cash,
Oct 2025,2025-10-02,House Rent,Bills & Utilities,8630,Net Banking,
Oct 2025,2025-10-02,Ola/Uber Ride,Transportation,400,UPI,
Oct 2025,2025-10-02,Petrol — HPCL,Transportation,1170,UPI,
Oct 2025,2025-10-03,Swiggy Order,Food & Dining,520,UPI,
Oct 2025,2025-10-03,Tea & Snacks,Food & Dining,60.43,Cash,
Oct 2025,2025-10-03,Tea & Snacks,Food & Dining,93.71,Cash,
Oct 2025,2025-10-03,Ola/Uber Ride,Transportation,270,UPI,
Oct 2025,2025-10-04,Society Maintenance,Bills & Utilities,1610,Net Banking,
Oct 2025,2025-10-04,Tea & Snacks,Food & Dining,52.31,Cash,
Oct 2025,2025-10-04,Grocery — BigBasket,Food & Dining,1720,UPI,
Oct 2025,2025-10-05,BESCOM Electricity Bill,Bills & Utilities,1680,Net Banking,
Oct 2025,2025-10-05,Broadband — ACT Fibernet,Bills & Utilities,980,UPI,
Oct 2025,2025-10-05,Gym Membership — Cult.fit,Health,1920,Credit Card,
Oct 2025,2025-10-05,SIP — Zerodha,Investment,1450,Net Banking,
Oct 2025,2025-10-05,Zomato Order,Food & Dining,420,UPI,
Oct 2025,2025-10-07,BWSSB Water Bill,Bills & Utilities,390,Net Banking,
Oct 2025,2025-10-07,College Fees,Education,7390,Net Banking,
Oct 2025,2025-10-08,Ola/Uber Ride,Transportation,100,UPI,
Oct 2025,2025-10-08,Laundry Service,Other,200,Cash,
Oct 2025,2025-10-09,Spotify Premium,Entertainment,120,UPI,
Oct 2025,2025-10-09,PPF Deposit,Investment,1820,Net Banking,
Oct 2025,2025-10-09,Zomato Order,Food & Dining,360,UPI,
Oct 2025,2025-10-10,Netflix Subscription,Entertainment,590,Credit Card,
Oct 2025,2025-10-11,Piped Gas Bill,Bills & Utilities,380,UPI,
Oct 2025,2025-10-12,D-Mart Grocery Shopping,Food & Dining,2170,Debit Card,
Oct 2025,2025-10-13,Metro Card Recharge,Transportation,420,UPI,
Oct 2025,2025-10-14,LIC Premium,Investment,1950,Net Banking,
Oct 2025,2025-10-14,Grocery — BigBasket,Food & Dining,1070,UPI,
Oct 2025,2025-10-14,House Cleaning Service,Other,390,Cash,
Oct 2025,2025-10-15,D-Mart Grocery Shopping,Food & Dining,3190,Debit Card,
Oct 2025,2025-10-15,House Cleaning Service,Other,420,Cash,
Oct 2025,2025-10-15,GST Invoice — Software License,Education,2140,Net Banking,GST Bill
Oct 2025,2025-10-16,Amazon Prime,Entertainment,300,Credit Card,
Oct 2025,2025-10-17,Mobile Recharge — Airtel,Bills & Utilities,590,UPI,
Oct 2025,2025-10-18,Auto Rickshaw,Transportation,58.52,Cash,
